ID,CALL,CN,TYPE
063E5BF2,D-KAAC,DW,Arcus M
063E5C54,D-KADW,DW,HK36 Super Dimona
063F01B9,D-8482,DW,Zugvogel IIIb
064B4D70,HB-2249,DW,DG-500 M
064B4E6A,HB-2499,DW,Antares 20 E
067C7F12,VH-ZDW,DW,ASG-29
06C00174,C-FAOH,DW,LS-4
06CB3B4A,SP-3269,DW,SZD-48-3 Jantar Std 3
06D00417,VH-ZDW,DW,ASG-29
06D004F0,SP-3269,DW,SZD-48-3 Jantar Std 3
06D009DF,G-CJEX,DW,Ventus 2a
06D02AAB,D-KHCW,DW,Duo Discus xlt
06DD90B8,D-KADW,DW,HK36 Super Dimona
06DDC1CF,LN-GDW,DW,Discus
06DDD295,D-3137,DW,Duo Discus
06DDD884,D-KDDW,DW,DG-600
06DDEA95,D-KSDW,DW,Discus 2cT
06DF13E5,D-KAAC,DW,Arcus M
061C5F5A,OK-2000,LB,Glasflugel 304
0622FFFE,D-EILB,LB,PZL-104 Wilga
063D1057,D-EELB,LB,DR-300
063E722F,D-KILB,LB,Ventus 3F
063E74D2,D-KJLA,LB,Arcus M
063E7973,D-KLEP,LB,Antares 20 E
064075E1,G-DDVA,LB,Nimbus 2
0644E982,D-KLUC,LB,Ventus 2cxT
064866F4,PH-1711,LB,ASG-29E
064B5119,D-7441,LB,LS-8
067C1FED,VH-GLB,LB,Libelle Std
06A68791,N52LB,LB,Nimbus 3DT
06D00900,F-CILB,LB,JS-3 18M
06D009D0,SP-3185,LB,SZD-48-1 Jantar Std 2
06DD4F2B,F-CNLB,LB,LS-8 18
06DD82F2,D-5384,LB,Discus
06DD8707,D-4442,LB,LS-4
06DD876D,D-3276,LB,Astir CS
06DD99CE,D-8192,LB,LS-7
06DD9D25,D-4418,LB,Discus
06DDE24C,SE-TRY,LB,SZD-48-1 Jantar Std 2
06DDE352,I-B525,LB,Silent 2 Electro
06DDED4D,D-2035,LB,Ventus 2bx
06DF0447,D-KKLB,LB,ASH-26 E
06DF0DEE,SE-SLB,LB,DG-1000
06DF227B,D-5408,LB,Discus
063F0348,D-8881,XK,LS-8a
06400EA8,G-BYXK,XK,Motorplane
064B4CBD,HB-2070,XK,DG-400
0660594B,HA-4455,XK,SZD-42 Jantar 2/2b
06A4A6D6,N3992,XK,Libelle Std
06DD9D32,F-PYXK,XK,UFO
06DDE2D4,F-CEXK,XK,Astir Club
06DDECBD,F-CAXK,XK,LS-4
06DF0EC9,D-KKSW,XK,ASG-29E
0638D9BB,F-CHAI,AI,ASW-24
063D2EF0,D-EQAI,AI,DA40
063E5BF8,D-KAAI,AI,Ventus 3M
063EC0F0,D-KOAI,AI,JS-3 18M
063ED542,D-KVSK,AI,Ventus ct
063ED8B4,D-KXAI,AI,Ventus 2cxT
063FEF56,D-MXAI,AI,WT9 Dynamic
064B5176,HB-3279,AI,Duo Discus
0667E76C,Alpin,AI,Other
06D00156,D-KOAI,AI,JS-3 18M
06D00E16,D-KZAI,AI,JS-3 18M
06D01CE4,D-5529,AI,LS-4
06D0201B,D-KCAI,AI,AS 34Me
06D02CF6,D-KABP,AI,JS-3 18M RES
06DD529F,LV-DLM,AI,SZD-41 Jantar Std
06DD52C7,LV-DLM,AI,Experimental
06DD83D4,OO-ZAI,AI,Ka-8
06DDA788,OK-5475,AI,Discus
06DDAECE,F-CEAI,AI,ASK-13
06DDBC94,F-CIDQ,AI,Duo Discus xlt
06DDDCC1,D-4832,AI,Astir Jeans
06DDEA2D,OM-1117,AI,Ventus 2cxT
06DDFD23,F-CIAI,AI,Astir CS
063ED524,D-KVRG,14,Ventus 3M
064847DD,PH-495,14,Cirrus Std
064B4DB1,HB2314,14,HK36 Super Dimona
06A0679F,N125PW,14,PW-5
06C30A2C,IGC-014,14,UFO
06D009CF,D-KBHB,14,JS-3 15M
06DD824F,D-0614,14,Ka-8
06DD8543,D-5314,14,Discus
06DDA542,D-1114,14,Pilatus B4
06DDA738,D-4214,14,Astir CS
06DDB224,D1414,14,LS-1
06DDD94E,D-2314,14,ASW-15
06DDF068,D-6085,14,SB-10
06DDF092,OK-3713,14,Ventus 2ct
06DDF110,PH-495,14,Cirrus Std
06DDFA6E,CC-K14W,14,Pilatus B4
06DDFA9D,D-5914,14,Astir CS-77
06FD7980,CC-AVZ,14,Zugvogel IIIa
06008ED7,PH-611,RJ,LS-3
06180337,SP-4347,RJ,Pegase
06200373,SP-4347,RJ,Pegase
062B5076,LV-DRG,RJ,ASW-20
0645A308,OY-HXH,RJ,Ventus 2ct
0648483B,PH-611,RJ,LS-3
06C307F0,SP-3904,RJ,SZD-51 Junior
06DD52B3,LV-DRG,RJ,ASW-20
06DD86D1,D-8883,RJ,Libelle Std
06DD9332,LY-RIJ,RJ,PIK-20 B
06DDA6F3,D-9909,RJ,Mini Nimbus
06DDA818,D-9472,RJ,SZD-51 Junior
06DDAE3B,D-KARJ,RJ,AVo 68 Samburo
06DDC07C,OY-HXH,RJ,Ventus 2ct
06DDD88E,I-CGTB,RJ,Marianne
06DDD90F,F-CLRJ,RJ,LS-6 18
06DDE640,F-PARJ,RJ,AK-2R
06DDEA91,D-KMRJ,RJ,ASH-31 MI
06DDFA0A,OK-6247,RJ,Nimbus 2
06DF09CA,KRJ,RJ,Ventus 2cxT
06079564,GS,3,Paraglider
06120FA1,,3,Cirrus Std
06191513,NAVIAIR,3,UFO
0638412A,OK-5628,3,VSO-10
0645E153,OY-XJS,3,JS-3 18M RES
06C30830,IGC-003,3,UFO
06D00992,OM-0003,3,JS-3 18M
06D026E4,LV-EEQ,3,LS-3
06DDFAEE,CC-LWD,3,Ventus
0625A700,OM-S231,LR,Allegro 2000
062FDB57,OK-4215,LR,Blanik
064847DF,PH-1131,LR,ASW-27
064B4E94,HB-2541,LR,JS-3 18M
