ID,CALL,CN,TYPE
063EECDB,,Y3,Discus
06A9509F,N7HV,Y3,Discus
06D0038A,S5-3046,Y3,DG-300
06DD4EAD,LV-DRD,Y3,SZD-48-3 Jantar Std 3
06DD87B6,OK-6887,Y3,Speed Astir II
06DD87C2,D-0910,Y3,Mosquito
06DD997E,D-8714,Y3,LS-1 f
06DDED83,S5-3046,Y3,DG-300
06DDF0BD,YR-1021,Y3,LS-4 W
06DDFDD0,OE-5557,Y3,Discus
06032FAA,LN-GCP,CP,Duo Discus t
0611339C,LN-GCP,CP,Duo Discus t
062CAD38,LN-GCP,CP,Duo Discus t
0640577B,G-LSCP,CP,LS-6 18
0648488B,PH-875,CP,Discus t
064B4BFA,HB-1875,CP,LS-4
0658804A,RF0873,CP,SZD-48-1 Jantar Std 2
06C82958,ZK-GCP,CP,ASK-21
06C99048,CP-OGN,CP,Paraglider
06D0075C,D-2867,CP,LS-3
06D0141B,D-KJOY,CP,Ventus 2cM
06D015EE,D-2654,CP,ASW-20
06DD9995,D-KEWE,CP,Ventus
06DDA3A6,D-2867,CP,LS-3
06DDAEEE,D-1152,CP,LS-8
06DDB214,D-XXCP,CP,Aquila A210
06DDEB95,D-MDGI,CP,Taurus
06DDEFC1,D-4425,CP,ASW-15
06DF23FF,D-KIEL,CP,Duo Discus t
06F65668,D-2867,CP,LS-3
06F91085,LN-GCP,CP,Duo Discus t
06FD7BD6,,CP,Paraglider
06FF6400,D-EHCP,CP,Cessna 172
063FEB29,D-MDYC,YC,WT9 Dynamic
064ACF23,SE-SYC,YC,Zugvogel IIIb
064B4C11,HB-1898,YC,DG-300
06506E24,S5-DYC,YC,Cessna 172
068CECDA,F-CDYC,YC,ASK-13
06A32532,N301YC,YC,Mini Nimbus
06D003E8,D-KYCC,YC,Arcus M
06D02AB7,F-CASG,YC,ASW-27
06DDAF6A,F-CDYC,YC,ASK-13
06DDE69B,ZE651,YC,Twin Astir II
06DF0A92,D-0494,YC,LS-4
06DF0EB0,D-MDYC,YC,WT9 Dynamic
06D026A3,D-1110,LAB,ASW-20
06485A0B,PH-1595,S5,LS-4
064B4BBB,HB-1812,S5,Discus
067C71FA,VH-WSS,S5,JS-3 15M
06D00BFE,WSS,S5,JS-3 18M
06D02CF1,PH-1595,S5,LS-4
06DD850D,F-COLE,S5,DG-600
06DD8EB5,D-9575,S5,Ventus 2ax
06DD9B67,D-KSCS,S5,ASW-28
06DDEE1F,HB-1812,S5,Discus
06FB48A4,D-0512,S5,ASK-13
06006313,D-KMHG,HG,ASH-25 MI
063E6C84,D-KGHG,HG,ASH-31 MI
063E6F28,D-KHHG,HG,ASH-25 MI
063E7714,D-KKHG,HG,Discus bT
063EC448,D-KPHG,HG,Ventus 2cxM
063ECED8,D-KTHG,HG,ASG-29E
063FED87,D-MXHG,HG,Towplane
06C06271,C-GLHG,HG,Cirrus Std
06D00580,ZK-GHG,HG,ASH-31 MI
06D012D5,F-CGYC,HG,LS-7
06D024C1,D-KGEL,HG,JS-3 18M RES
06DD9901,D-KTHG,HG,ASG-29E
06DDA714,D-7723,HG,LS-3
06DDD34A,F-CIHG,HG,Alliance 34
06DDDD92,OE-5715,HG,Discus
06DDED5D,D-1140,HG,Cirrus
06DDFA49,F-CHHG,HG,Ka-8
06DDFB20,LN-GHG,HG,Astir CS
06DF0BF9,ZK-GHG,HG,ASH-31 MI
060D8014,,B6,ASW-20
063E60BE,D-KBVI,B6,Duo Discus t
064848DC,PH-643,B6,Mosquito
06A0E93E,D-6575,B6,Discus
06D0263A,D-7855,B6,Astir CS
06D02ACC,,B6,LS-3
06DD8590,OY-MKX,B6,LS-1 d
06DD8F0B,D-8030,B6,LS-4
06DD99FB,D-6575,B6,Discus
06DF22D7,D-4680,B6,ASK-21
06282BCE,D-KCPM,B4,Duo Discus xt
06A584C9,N455BA,B4,Blanik
06D00152,D-6766,B4,Pilatus B4
06DD85DD,B4,B4,DG-1000
06DD94F8,,B4,DG-808 B
06DD9739,OE-5076,B4,Pilatus B4
06DD9AA7,D-3757,B4,LS-4
06DDA3AF,PH-1516,B4,Pilatus B4
06DDA7E8,OO-YBX,B4,Twin Astir III
06DDAECB,OO-YBL,B4,LS-4
06DDD2C3,OO-YBL,B4,LS-4
06DDD808,D-3335,B4,Pilatus B4
06DDE20F,VH-FBE,B4,Duo Discus
06DDEF04,D-2819,B4,LS-4
06DDFD39,OE-5750,B4,Pilatus B4
06DF03FE,F-CJCP,B4,Duo Discus
06DF245E,D-1286,B4,LS-4
06F0BF4C,OM-0221,B4,Blanik
063E7902,D-KLAG,AG,AS 33
063E7BA6,D-KMAG,AG,SF-25
0646903A,D-KWAG,AG,DG-800
064B480E,HB-871,AG,Ka-6 cr
06903A65,D-KWAG,AG,DG-800
06D004B2,D-KLXE,AG,JS-3 15M
06D018F0,I-VDAG,AG,DR-400
06D01971,F-CNAG,AG,LS-7
06DD4F24,SP-3962,AG,Pegase
06DD52A7,LV-DLZ,AG,SZD-48-1 Jantar Std 2
06DD87C9,D-5924,AG,DG-100
06DD8946,D-1526,AG,Discus
06DD89C5,D-KMAG,AG,SF-25
06DDA783,D-KBAG,AG,Nimbus 3DT
06DDA7CC,D-2700,AG,LS-4
06DDD88C,D-KHAG,AG,Nimbus 4DT
06DDDC4D,F-CFAG,AG,Janus B
06DDE9AB,F-CJAG,AG,ASW-20
06DDE9D0,D-KGAG,AG,Arcus M
06DDEA94,D-KSAG,AG,ASH-25 MI
06DDF018,F-CHHO,AG,ASH-25
06DF0937,D-KXAG,AG,DG-800
06DF0E04,zs-gzx,AG,JS-1 C18 Evo
06DF21B0,N390JB,AG,JS-1 C21
06DF286E,F-CJAG,AG,ASW-20
062D8F57,viewAir,194,Cessna 172
064058E1,,194,Unknown
06D01063,,194,LS-7
06DDDBDD,BOP-EO,194,Pegase
06405CC0,G-cfls,FLS,Ka-6 cr
06D01CB6,SP-4148,FLS,LS-3
06D01854,9A-GTI,HR3,ASW-24
064B0BD5,HBEMN,MN,DR-300
064B4BD2,HB-1835,MN,LS-4
064D0318,LX-CMN,MN,LS-4
06C77A78,N92MN,MN,SZD-50 Puchacz
06C8088B,ZK-GMN,MN,Twin Astir I
06D01352,D-1458,MN,Mini Nimbus
06D0284C,D-KFMN,MN,Ventus 2cM
06DD858B,LX-CMN,MN,LS-4
06DDA49B,D-1458,MN,Mini Nimbus
06DDDA9E,OH-588,MN,SZD-48-3 Jantar Std 3
06DDEF33,D-KFSS,MN,ASH-26 E
06DDF938,OOZMN,MN,SF-27
06D02CE8,OK-3133,6L,LS-4
06DDDF62,D-8861,6L,LS-4
063E5F7B,D-KBIX,IX,Ventus cM
063E7F2B,D-KNIX,IX,SF-25
063EEE42,D-3499,IX,Ventus 2c
063FE9E8,D-MPIX,IX,Scheibe SF 40
06484BDB,PH-1033,IX,DG-300
06D00158,OK-4114,IX,LS-4
06D01579,F-CEIX,IX,LS-4
06D10000,DKMIX,IX,Ventus 2cxT
06DDBBF0,D-KARZ,IX,DG-400
06DDDCBB,D-KBIX,IX,Ventus cM
06DDDF5A,D-KWIX,IX,Discus 2cT
06DDE9A1,D-KMIX,IX,Ventus 2cxT
06F65316,D-1400,IX,ASW-20
0638E75B,F-CIFF,FP,Arcus T
063C061D,D-EYFP,FP,UFO
063EEBB3,D-2844,FP,LS-3
06A31F59,N300AG,FP,DG-300
06C3224C,GCKFP,FP,Ventus 2cxT
06C726A0,N410PW,FP,PW-5
06D00593,D-2844,FP,LS-3
06D0092F,F-CIJM,FP,Ventus 2cxT
06DD98BF,OK-4175,FP,LS-4
06DDAFB5,F-CFFP,FP,ASW-20
06DDC1D3,OO-ZMB,FP,ASW-15
06DDD345,D-6698,FP,PIK-20 D
06DDDC55,F-CZAN,FP,Ventus 2c
06DDDD58,D-6698,FP,PIK-20 D
06DDE361,D-1899,FP,LS-4
06DDECA5,D-KKFP,FP,HPH 304S Shark
06DF13DA,D-0794,FP,Discus
06DF2858,OK-4175,FP,LS-4
0639377B,F-CGFL,FL,Pegase
063ED939,D-KXFL,FL,DG-808 B
