ID,CALL,CN,TYPE
06112415,Stefan,SE,Paraglider
06394A5B,F-CODE,SE,LS-4
063EFBF6,D-7007,SE,Mini Nimbus
064B4BF7,HB-1872,SE,DG-300
06A1B8BE,N21SE,SE,Ventus 2c
06AAE11A,N80SF,SE,ASW-19
06D00717,D-9153,SE,Ventus
06D012D2,LV-DOW,SE,SZD-48-1 Jantar Std 2
06DD85DA,OY-XSE,SE,LS-8
06DD9344,D-MOSE,SE,FK9 Mark 2
06DD99BD,D-7007,SE,Mini Nimbus
06DD9F9F,OE-DSE,SE,DR-400
06DDB0FB,D-7251,SE,Ventus 2ax
06DDD987,G-DDWP,SE,Mosquito
06DDDA79,D-0029,SE,Cirrus Std
06DDDE35,OY-SEX,SE,LS-8
06DDDE6E,D-MESE,SE,Taurus
06DDEDC3,D-1090,SE,Glasflugel H301
0624E234,SP-3621,LOT,PW-5
06406D65,G-DLOT,LOT,HPH 304S Shark
065AC494,SP-3621,LOT,PW-5
065AC4C4,SP-3621,LOT,Smyk
06183F0A,HA-5022,I,IS-28B2
06213675,HA-5022,I,IS-28B2
06363058,OK-7403,I,VT-116 Orlik II
0636BA0A,OM-0212,I,Blanik
063ED43C,D-KVII,I,Ventus 3T
06408055,G-DMCC,I,Antares 18 T
0645E129,OY-XII,I,Ventus 3T
065DF731,I,I,SZD-48-1 Jantar Std 2
06ABA5BA,,I,Discus
06D0058D,I-AEVB,I,DG-1000
06D02B7B,HA-5006,I,IS-28B2
06D02E86,SP-3440,I,SZD-51 Junior
06DD8A96,LY-GRB,I,LS-4
06DDB161,D-1234,I,ASW-15
06DDD270,F-CHKH,I,Pegase
06DDEE69,SP-4106,I,Discus 2
06DF1855,D-2505,I,DG-100
06EDBB88,OK-0220,I,Blanik
06110C3E,Stefan,SI,Paraglider
0638AE9B,F-CAHA,SI,LS-4
063E7590,D-KJSI,SI,Arcus T
063E7D7C,D-KMSI,SI,Ventus 2cxM
063EDD2C,D-KYSI,SI,HK36 Super Dimona
063EFCA0,D-7177,SI,Kestrel
06484A9C,PH-1260,SI,Duo Discus t
06C07DF9,C-GVSI,SI,DG-505
06D003CD,OM-8888,SI,LS-8
06D00533,D-KSSI,SI,ASG-29E
06D00A16,D-8631,SI,ASW-20
06D00FFA,D-KUSI,SI,Arcus M
06D01437,G-SISI,SI,Duo Discus
06D017E8,I-UKSI,SI,LS-4
06D01CEA,N562CY,SI,SZD-56-2 Diana 2
